person,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,favorable,unfavorable,net,adjusted_favorable,adjusted_unfavorable,adjusted_net,url,createddate,timestamp
Elon Musk,All polls,Marquette University Law School,,3/17/25,3/27/25,1021, A,1.530885,0.9493343,,38,60,-22,38.58657,57.99609,-19.40952,https://www.marquette.edu/news-center/2025/marquette-law-school-national-survey-finds-public-skeptical-of-tariffs-inflation-trends-positive-on-nation-s-direction.php,3/27/25,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,3/26/25,3/27/25,2746, RV,1.262039,0.9182381,,39,49,-10,37.9314,51.64042,-13.70902,https://harvardharrispoll.com/key-results-march-5/,3/27/25,4/13/25 19:19
Elon Musk,All polls,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,3/27/25,4/1/25,1500, RV,1.05411,0.8538933,,42,53,-11,41.59896,52.38677,-10.78781,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf,4/1/25,4/13/25 19:19
Elon Musk,All polls,AP-NORC,,3/20/25,3/24/25,1229, A,1.147297,0.7095949,,36,55,-19,37.62855,53.31007,-15.68152,https://apnorc.org/wp-content/uploads/2025/03/March-2025-topline-Trump-.pdf,3/24/25,4/13/25 19:19
Elon Musk,All polls,GBAO,Third Way,3/17/25,3/23/25,2000, RV,1.210367,0.6930999,,40,56,-16,40.04416,55.05494,-15.01078,https://www.thirdway.org/memo/breaking-through-the-noise-on-trumps-chaotic-first-two-months,3/23/25,4/13/25 19:19
Elon Musk,All polls,Targoz Market Research,Overton Insights,3/24/25,3/28/25,1200, RV,0.951969,0.6807443,,37,52,-15,37.84748,52.3308,-14.48332,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf,3/28/25,4/13/25 19:19
Elon Musk,All polls,AtlasIntel,,3/7/25,3/12/25,2550, A,1.863615,0.6548473,,45,54,-9,42.61527,53.75443,-11.13916,https://atlasintel.org/poll/usa-national-2025-03-17,3/12/25,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,4/3/25,4/7/25,1000, RV,0.6738557,0.639455,,38,56,-18,39.00071,55.00278,-16.00207,https://navigatorresearch.org/wp-content/uploads/2025/04/Navigator-Update-04.08.2025.pdf?emci=7876fdc2-1314-f011-8b3d-0022482a9fb7&emdi=41fa485e-7914-f011-8b3d-0022482a9fb7&ceid=1396968,4/7/25,4/13/25 19:19
Elon Musk,All polls,Rasmussen Reports,,3/25/25,3/27/25,1036, LV,0.8782596,0.6194597,,45,50,-5,41.43561,51.94773,-10.51212,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/anti_musk_message_taking_its_toll,3/27/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,4/5/25,4/8/25,1741, A,0.589995,0.589995,,40,54,-14,38.38363,53.31395,-14.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31,4/8/25,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,3/31/25,4/2/25,1468, A,0.6500319,0.5489612,,39,57,-18,40.78211,53.69671,-12.9146,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,4/2/25,4/13/25 19:19
Elon Musk,All polls,North Star Opinion Research,Defending Democracy Together,3/13/25,3/17/25,1000, RV,1.158492,0.5258678,,40,50,-10,40.11415,50.74957,-10.63542,https://www.defendingdemocracytogether.org/app/uploads/2025/03/Elon-Musk-Poll-Toplines-Defending-Democracy-Together.pdf,3/17/25,4/13/25 19:19
Elon Musk,All polls,Blueprint Polling,,3/13/25,3/14/25,1400, LV,1.142289,0.4913921,,39,54,-15,39.43181,53.57343,-14.14162,https://blueprint-research.com/polling/trump-musk-vulnerabilities-topline/,3/14/25,4/13/25 19:19
Elon Musk,All polls,Leger,,3/14/25,3/16/25,1013, A,1.059821,0.4810787,,37,48,-11,37.97531,49.32459,-11.34928,https://leger360.com/wp-content/uploads/2025/03/Trump_Tariffs_Tracking_March_17th-2025_CAN-US_EN.pdf,3/16/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,4/4/25,4/6/25,2207, RV,0.4704548,0.4450402,,41,53,-12,41.08549,53.90515,-12.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,4/6/25,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,3/7/25,3/11/25,1000, RV,1.270486,0.4445827,,39,51,-12,42.25928,51.6562,-9.396919,https://s3.documentcloud.org/documents/25569109/nbc-march-2025-poll-3-16-2025-release.pdf,3/11/25,4/13/25 19:19
Elon Musk,All polls,Cygnal,,3/3/25,3/5/25,1500, LV,1.545073,0.4336778,,42.2,53.1,-10.9,41.55009,52.92465,-11.37456,https://www.cygn.al/wp-content/uploads/2025/03/22915-Cygnal-National-NVT-Mar25-Deck-Public.pdf,3/5/25,4/13/25 19:19
Elon Musk,All polls,AtlasIntel,,2/24/25,2/27/25,2849, A,1.915226,0.4240822,,50,49,1,47.61527,48.75443,-1.13916,https://www.atlasintel.org/poll/usa-national-2025-02-28,2/27/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/30/25,4/1/25,1626, A,0.4875186,0.3978009,,42,53,-11,40.38363,52.31395,-11.93032,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf#page35,4/1/25,4/13/25 19:19
Elon Musk,All polls,Echelon Insights,,3/10/25,3/13/25,1007, LV,1.118104,0.3975073,,42,50,-8,41.23893,51.0299,-9.79097,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2025-Voter-Omnibus-Topline-External.pdf,3/13/25,4/13/25 19:19
Elon Musk,All polls,Quinnipiac University,,3/6/25,3/10/25,1198, RV,1.205406,0.3927563,,36,57,-21,38.15261,58.06196,-19.90935,https://poll.qu.edu/poll-release?releaseid=3921,3/10/25,4/13/25 19:19
Elon Musk,All polls,Rasmussen Reports,,3/12/25,3/16/25,1219, LV,0.9027684,0.3662249,,48,49,-1,44.43561,50.94773,-6.512119,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/most_voters_ok_with_tesla_protests_but_vandalism_nope,3/16/25,4/13/25 19:19
Elon Musk,All polls,Marist College,NPR | PBS News,2/24/25,2/26/25,1694, A,1.523964,0.3233268,,39,50,-11,40.32991,50.47902,-10.14911,https://maristpoll.marist.edu/polls/the-state-of-the-union-march-2025/,2/26/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,3/28/25,3/30/25,2210, RV,0.3984888,0.3029333,,40,54,-14,40.08549,54.90515,-14.81966,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/30/25,4/13/25 19:19
