president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Voters,Quinnipiac University,,4/3/2025,4/7/2025,1407, RV,1.408764,1.24778,,41,53,-12,43.03617,52.24505,-9.208878,https://poll.qu.edu/poll-release?releaseid=3922,4/7/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Cygnal,,4/1/2025,4/3/2025,1500, LV,1.663411,1.189149,,47,51.2,-4.200001,46.7997,50.67414,-3.874439,https://www.cygn.al/wp-content/uploads/2025/04/22974-Cygnal-National-NVT-Apr25-Deck-Public.pdf,4/3/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Adults,Morning Consult,,4/1/2025,4/7/2025,45000, A,1.718826,1.131722,TRUE,47.8,45.96,1.84,46.55021,48.69913,-2.148922,https://pro.morningconsult.com/trackers/global-leader-approval,4/7/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,Harris Insights & Analytics,,4/4/2025,4/7/2025,1883, RV,1.089316,1.024468,TRUE,47,49,-2,45.91016,50.56234,-4.65218,https://www.harrisx.com/content/full-harrisx-overnight-poll-tariff-findings,4/7/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Quinnipiac University,,4/3/2025,4/7/2025,1407, RV,1.408764,1.006305,,41,53,-12,42.84621,52.36332,-9.517109,https://poll.qu.edu/poll-release?releaseid=3922,4/7/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Economist,4/5/2025,4/8/2025,1563, RV,0.9260352,0.9260352,,45,52,-7,45.07023,51.88137,-6.811142,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31,4/8/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Cygnal,,4/1/2025,4/3/2025,1500, LV,1.663411,0.9045921,,47,51.2,-4.200001,46.69913,50.70554,-4.006409,https://www.cygn.al/wp-content/uploads/2025/04/22974-Cygnal-National-NVT-Apr25-Deck-Public.pdf,4/3/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,4/2/2025,4/10/2025,3000, RV,0.9548975,0.8964179,,49,48,1,46.37474,49.96177,-3.587029,https://napolitannews.org/jobapproval,4/10/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,4/4/2025,4/10/2025,1500, LV,0.8423072,0.8423072,TRUE,48,50,-2,46.36165,50.55627,-4.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/10/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Harris Insights & Analytics,,4/4/2025,4/7/2025,1883, RV,1.089316,0.8299246,TRUE,47,49,-2,45.78383,50.59344,-4.809612,https://www.harrisx.com/content/full-harrisx-overnight-poll-tariff-findings,4/7/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,4/3/2025,4/7/2025,1000, RV,0.8567227,0.7571965,,44,53,-9,44.24997,52.6256,-8.375629,https://navigatorresearch.org/wp-content/uploads/2025/04/Navigator-Update-04.08.2025.pdf?emci=7876fdc2-1314-f011-8b3d-0022482a9fb7&emdi=41fa485e-7914-f011-8b3d-0022482a9fb7&ceid=1396968,4/7/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,4/1/2025,4/7/2025,45000, A,1.16227,0.7491348,TRUE,47.8,45.96,1.84,46.87719,47.24051,-0.3633194,https://pro.morningconsult.com/trackers/global-leader-approval,4/7/2025,17:16:51 13 Apr 2025
