date,favorable,unfavorable,net
2024-07-21,40,49,-9
2024-07-22,40,49,-9
2024-07-23,40,49,-9
2024-07-26,45,37,8
2024-07-27,43.19863925263738,41.95374205524722,1.2448971973901592
2024-07-28,43.19863925263738,41.95374205524722,1.2448971973901592
2024-07-29,41,48,-7
2024-07-30,41,48,-7
2024-08-22,40,46,-6
2024-08-23,40,46,-6
2024-08-24,40,46,-6
2024-08-25,40,46,-6
2024-09-04,45,39,6
2024-09-05,45,39,6
2024-09-08,43,45,-2
2024-09-09,43,45,-2
2024-09-10,43,45,-2
2024-09-12,48,41,7
2024-09-13,39.87552294019354,43.321279159944694,-3.4457562197511535
2024-09-14,34,45,-11
2024-09-15,36.71372991784695,45.67843247946174,-8.964702561614793
2024-09-16,36.71372991784695,45.67843247946174,-8.964702561614793
2024-09-17,36.71372991784695,45.67843247946174,-8.964702561614793
2024-10-11,43.89078823735615,40,3.8907882373561478
2024-10-12,43.3380667211672,42.028400327003204,1.3096663941639974
2024-10-13,43.3380667211672,42.028400327003204,1.3096663941639974
2024-10-14,44,46,-2
2024-10-15,44,46,-2
2024-10-19,45,45,0
2024-10-20,45,45,0
2024-10-21,45,45,0
2024-10-22,45,45,0
2024-10-24,39,47,-8
2024-10-25,39,47,-8
2024-10-26,41.301925194296786,46.23269160190108,-4.930766407604295
2024-10-27,41.301925194296786,46.23269160190108,-4.930766407604295
2024-10-28,41.301925194296786,46.23269160190108,-4.930766407604295
2024-10-29,45,45,0
2024-10-30,37,42,-5
2024-10-31,37,42,-5
2024-11-01,37,42,-5
2024-11-02,37,42,-5
2024-11-06,42,46,-4
2024-11-07,42,46,-4
2024-11-08,43,42,1
2024-11-09,43.48013822242574,43.920552889702975,-0.44041466727723844
2024-11-10,43.48013822242574,43.920552889702975,-0.44041466727723844
2024-11-11,43.48013822242574,43.920552889702975,-0.44041466727723844
2024-11-12,44,46,-2
2024-11-13,44.20522973724321,42.32313784234592,1.882091894897286
2024-11-14,45.577547931681956,42.11134742883998,3.4662005028419784
2024-11-15,45.166170268901524,45.36437924004731,-0.19820897114578884
2024-11-16,45.166170268901524,45.36437924004731,-0.19820897114578884
2024-11-17,45.166170268901524,45.36437924004731,-0.19820897114578884
2024-11-18,46.80903086731232,41.92129217691691,4.887738690395416
2024-11-23,50,41,9
2024-11-24,50,41,9
2024-11-25,50,41,9
2024-11-26,50,41,9
2024-11-27,45,45,0
2024-11-28,45,45,0
2024-11-29,45,45,0
2024-11-30,45,45,0
2024-12-05,41.802338170898565,48.19181640185502,-6.389478230956456
2024-12-06,42.41342663920604,47.19963545768221,-4.786208818476176
2024-12-07,42.41342663920604,47.19963545768221,-4.786208818476176
2024-12-08,41.21985849361756,42.72501753700111,-1.50515904338355
2024-12-09,41.95877672992693,44.316024698130256,-2.3572479682033247
2024-12-10,42.30232856875862,41.921002026024006,0.3813265427346124
2024-12-11,41.99160246527579,41.91409120387122,0.07751126140456677
2024-12-12,39.73388503436899,39.786123236975456,-0.05223820260646761
2024-12-13,41.283906726848585,46.27516553389751,-4.991258807048922
2024-12-14,40.75584453539565,48.23451392906426,-7.478669393668611
2024-12-15,41.73227019690994,47.39417589143505,-5.66190569452511
2024-12-16,41.88895508511005,43.35800998108665,-1.4690548959766048
2024-12-17,47.99999999999999,42,5.999999999999993
2024-12-18,45,48,-3
2024-12-19,45,48,-3
2024-12-21,47,45,2
2024-12-22,47,45,2
2024-12-23,47,45,2
2024-12-24,47,45,2
2024-12-29,48,41,7
2024-12-30,48,41,7
2024-12-31,48,41,7
2025-01-05,43,46,-3
2025-01-06,43,46,-3
2025-01-07,38.25603969166702,46,-7.74396030833298
2025-01-08,39.112950821551735,45.8508152765886,-6.737864455036863
2025-01-09,39.786540617872795,48.601969265484414,-8.815428647611618
2025-01-10,41.31960966059793,49.85037523213307,-8.530765571535134
2025-01-11,41.31960966059793,49.85037523213307,-8.530765571535134
2025-01-12,41.2526333213551,49.80498062958625,-8.552347308231148
2025-01-13,40.423654516047115,50.79400195044229,-10.370347434395178
2025-01-14,40.722998824459346,50.036001567387544,-9.313002742928198
2025-01-15,43,41,2
2025-01-16,43,41,2
2025-01-17,44,48.99999999999999,-4.999999999999993
2025-01-18,44,48.99999999999999,-4.999999999999993
2025-01-19,46,46,0
2025-01-20,46,46,0
2025-01-21,44.32915045088166,48.89719867580271,-4.56804822492105
2025-01-22,43.78107033494844,47.33849386205201,-3.5574235271035732
2025-01-23,43.78107033494844,47.33849386205201,-3.5574235271035732
2025-01-24,41.349043943614454,48.90683069244123,-7.5577867488267785
2025-01-25,40.86511365060371,50.638248253012804,-9.773134602409094
2025-01-26,41.09384431042192,50.44575379024158,-9.35190947981966
2025-01-27,41.4198823226892,51.69171293372534,-10.271830611036144
2025-01-28,40.84233645023585,53.40657219928376,-12.56423574904791
2025-01-29,40.45412926715848,53.412316013814774,-12.958186746656295
2025-01-30,40.224051891316904,53.347077944120095,-13.12302605280319
2025-01-31,40.669605201667935,52.49112310044811,-11.821517898780172
2025-02-01,40.669605201667935,52.49112310044811,-11.821517898780172
2025-02-02,40.978606024743605,52.60697537827492,-11.628369353531312
2025-02-03,40.381294073280856,50.19458696702107,-9.813292893740211
2025-02-04,42.934396763912616,49.57591651270804,-6.6415197487954245
2025-02-05,42.9222193028017,49.68281978996856,-6.760600487166862
2025-02-06,49.91290528449328,43.8348378862027,6.078067398290578
2025-02-07,49.057568506586456,44.810727072869874,4.2468414337165825
2025-02-08,47.86176091068136,45.85941396446503,2.002346946216335
2025-02-09,46.884163247842636,46.8835128057979,6.504420447370762e-4
2025-02-10,45.8562474581143,47.23155416340053,-1.3753067052862349
2025-02-11,43.29036001423668,48.99882776726623,-5.708467753029545
2025-02-12,43,50,-7
2025-02-13,40.137112354586534,51.44555817428124,-11.308445819694704
2025-02-14,39.463517751497776,50.950149257746475,-11.486631506248699
2025-02-15,39.463517751497776,50.950149257746475,-11.486631506248699
2025-02-16,39.64201871447735,51.758196438502935,-12.116177724025583
2025-02-17,39.46531394959236,51.98697844868191,-12.521664499089553
2025-02-18,40.76013194233653,53.74276289833105,-12.982630955994523
2025-02-19,43.15506221563706,47.09810520933079,-3.94304299369373
2025-02-20,42.36947890182911,48.52046017316547,-6.150981271336356
2025-02-21,40.306136167609594,52.798965261231274,-12.49282909362168
2025-02-22,40.306136167609594,52.798965261231274,-12.49282909362168
2025-02-23,40.8629973202118,52.22037810225089,-11.357380782039094
2025-02-24,42.727472671751045,50.752085435837074,-8.02461276408603
2025-02-25,42.94303931185612,50.83282385187157,-7.889784540015448
2025-02-26,42.93790939830808,50.907828464702945,-7.969919066394866
2025-02-27,45.15986373774098,51.42006813112951,-6.260204393388534
2025-02-28,37.006063121708,55.83489230301671,-18.828829181308706
2025-03-01,37.534087410163586,55.40897180703924,-17.87488439687565
2025-03-02,37.3371860931345,55.361778638037656,-18.024592544903157
2025-03-03,38.29028121589394,55.27865858846211,-16.988377372568166
2025-03-04,38.22253394236225,54.28008397229691,-16.05755002993466
2025-03-05,37.83792305336614,54.54414780809333,-16.706224754727188
2025-03-06,35.5463795625753,55.27031128935759,-19.723931726782297
2025-03-07,38.018396736735596,54.24450792718514,-16.226111190449544
2025-03-08,38.11974469341108,54.88569492054717,-16.765950227136088
2025-03-09,38.250956279616965,54.79979106991999,-16.548834790303026
2025-03-10,39.12695184518971,54.37506069412581,-15.248108848936099
2025-03-11,39.52261585702534,54.17820985128324,-14.655593994257899
2025-03-12,40.85647723718126,54.1317348255596,-13.275257588378338
2025-03-13,39.4896427833437,53.08661316043972,-13.59697037709602
2025-03-14,38.69756865882285,52.621130572329264,-13.923561913506411
2025-03-15,38.634760082532274,52.33476863211001,-13.700008549577738
2025-03-16,38.757114620618424,52.36918124122313,-13.612066620604708
2025-03-17,37.80633856376652,56.12710874619567,-18.320770182429143
2025-03-18,37.24277150795969,57.77164063229573,-20.52886912433604
2025-03-19,36.97678458072332,58.109441229823744,-21.132656649100426
2025-03-20,36.905915178032686,57.3725227876332,-20.466607609600516
2025-03-21,38.175219600251,56.81306730972473,-18.637847709473732
2025-03-22,38.50429560000052,56.48465305111313,-17.98035745111261
2025-03-23,38.50429560000052,56.48465305111313,-17.98035745111261
2025-03-24,37.790733199411825,55.72267941812598,-17.931946218714153
2025-03-25,39.79338708462357,54.71828204133386,-14.92489495671029
2025-03-26,39.34803213784847,53.9480786457021,-14.600046507853627
2025-03-27,39.870354360336705,53.76134842457679,-13.890994064240083
2025-03-28,39.70977062719508,52.709745124000236,-12.999974496805159
2025-03-29,41.59365367402882,53.203173162985586,-11.609519488956764
2025-03-30,41.67316262587322,53.1634186870634,-11.49025606119018
2025-03-31,41.142460326215584,54.14338623171255,-13.000925905496963
2025-04-01,40.64124954083873,55.84460892028207,-15.203359379443341
2025-04-02,39.540622816509284,58.14882348508224,-18.608200668572955
2025-04-03,39.197426973166756,57.79614045975015,-18.598713486583392
2025-04-04,38.95149251302399,55.04850748697601,-16.097014973952014
2025-04-05,39.24911755177838,54.75088244822162,-15.501764896443234
2025-04-06,39.24911755177838,54.75088244822162,-15.501764896443234
2025-04-07,37.617282385671814,52.51795918023035,-14.900676794558535
2025-04-08,37.5060629834846,51.50606298348459,-13.999999999999993
2025-04-09,36.01011427977308,51.18547871687694,-15.175364437103866
2025-04-10,38.495399282102014,51.59123152973076,-13.09583224762875
2025-04-11,38.66164407732967,52.81122972579896,-14.14958564846929
2025-04-12,38.66164407732967,52.81122972579896,-14.14958564846929
2025-04-13,38.716249651329804,52.90053261985924,-14.184282968529438
2025-04-14,40.02571888195925,53.03142355367668,-13.005704671717432
2025-04-15,37.17202919101809,54.79909093821096,-17.62706174719287
2025-04-16,37.09517779216503,55.62324023844397,-18.528062446278938
2025-04-17,36.04589492213538,55.97599914349339,-19.930104221358008
2025-04-18,37.141118441261916,55.526404516345956,-18.38528607508404
2025-04-19,37.254590031041715,55.494271238646654,-18.23968120760494
2025-04-20,37.254590031041715,55.494271238646654,-18.23968120760494
2025-04-21,35.53939751316885,54.70516281756235,-19.165765304393503
2025-04-22,34.639345929119784,53.752853678778386,-19.113507749658602
2025-04-23,34.81774286987397,53.91189134680813,-19.094148476934166
2025-04-24,35.56121404633312,54.37591792608174,-18.81470387974862
2025-04-25,37.065245503829445,54.00282956782435,-16.937584063994905
2025-04-26,37.065245503829445,54.00282956782435,-16.937584063994905
2025-04-27,37.065245503829445,54.00282956782435,-16.937584063994905
2025-04-28,36.629895478107194,53.19215593430921,-16.56226045620202
2025-04-29,34,52,-18
2025-04-30,37.890594053463616,52,-14.109405946536384
2025-05-01,43,52,-9
2025-05-02,42.03619514199988,52.155548902919975,-10.119353760920092
2025-05-03,42.03619514199988,52.155548902919975,-10.119353760920092
2025-05-04,42.03619514199988,52.155548902919975,-10.119353760920092
2025-05-05,39.45786142182463,57.39748502361377,-17.939623601789137
2025-05-06,41.733188376630764,55.16302400972989,-13.429835633099124
2025-05-07,41.733188376630764,55.16302400972989,-13.429835633099124
2025-05-08,40.230219005625194,53.49463459326066,-13.264415587635469
2025-05-09,38.44748930423933,54.22549590128044,-15.778006597041106
2025-05-10,39.80718532723914,55.21160146537763,-15.404416138138494
2025-05-11,39.80718532723914,55.21160146537763,-15.404416138138494
2025-05-12,39.74086523753161,55.86876446035154,-16.127899222819934
2025-05-13,39,58.73350812871992,-19.73350812871992
2025-05-14,39.73194332459801,55.34028337700995,-15.608340052411947
2025-05-15,38.75679357737688,55.8883926451633,-17.131599067786418
2025-05-16,37.86428263385081,55.89129982748874,-18.027017193637924
2025-05-17,37.86428263385081,55.89129982748874,-18.027017193637924
2025-05-18,37.86428263385081,55.89129982748874,-18.027017193637924
2025-05-19,42,51,-9
2025-05-21,43,57,-14
2025-05-22,43,57,-14
2025-05-23,42.75452906371193,56.38632265927982,-13.631793595567892
2025-05-24,42.75452906371193,56.38632265927982,-13.631793595567892
2025-05-25,42.75452906371193,56.38632265927982,-13.631793595567892
2025-05-26,40.882763435230856,54.47195634057415,-13.589192905343296
2025-05-27,40.882763435230856,54.47195634057415,-13.589192905343296
2025-05-28,36.300000000000004,49,-12.699999999999996
2025-05-30,41.40159260073814,51,-9.598407399261859
2025-05-31,41.40159260073814,51,-9.598407399261859
2025-06-01,41.40159260073814,51,-9.598407399261859
2025-06-02,44.43570573968517,47.74823971615884,-3.3125339764736736
2025-06-03,47,45,2
2025-06-05,33.60797716750838,56.62250547545763,-23.01452830794925
2025-06-06,33.96061995534376,56.596618066964794,-22.635998111621035
2025-06-07,33.95274423297481,56.715937338863306,-22.763193105888497
2025-06-08,33.95274423297481,56.715937338863306,-22.763193105888497
2025-06-09,33.58949495402502,55.57163990231161,-21.98214494828659
2025-06-10,34.945110428744314,52.38902208574886,-17.44391165700455
2025-06-11,35.58987380318936,53.25533375652529,-17.665459953335926
2025-06-12,37.024314721506215,53.9678745761274,-16.943559854621185
2025-06-13,38.13659932973225,56.00586057845516,-17.869261248722914
2025-06-14,38.13659932973225,56.00586057845516,-17.869261248722914
2025-06-15,38.17529842690285,56.85743203810244,-18.68213361119959
2025-06-16,38.26681500165202,56.92419741565351,-18.65738241400149
2025-06-17,37,53.99999999999999,-16.999999999999993
2025-06-20,36.93849548106122,56.12300903787757,-19.184513556816356
2025-06-21,36.93849548106122,56.12300903787757,-19.184513556816356
2025-06-22,36.93849548106122,56.12300903787757,-19.184513556816356
2025-06-27,37,53,-16
2025-06-28,37,53,-16
2025-06-29,37,53,-16
2025-07-02,30.000000000000004,62,-31.999999999999996
2025-07-03,31.999722177768277,59.33370376297563,-27.333981585207354
2025-07-04,31.999840939549856,59.618528082744234,-27.61868714319438
2025-07-05,31.999840939549856,59.618528082744234,-27.61868714319438
2025-07-06,31.999840939549856,59.618528082744234,-27.61868714319438
2025-07-07,32.02671178748935,62.5404685221882,-30.513756734698852
2025-07-08,32.44340002067169,63.22639991731327,-30.782999896641584
2025-07-09,32.87183448024983,60.68695001694025,-27.81511553669042
2025-07-10,31.604450981116305,59.17735507692004,-27.572904095803732
2025-07-11,31.305367993251394,59.94035108894808,-28.634983095696683
2025-07-12,31.305367993251394,59.94035108894808,-28.634983095696683
2025-07-13,31.305367993251394,59.94035108894808,-28.634983095696683
2025-07-14,32.92996094204779,60.342418352126884,-27.412457410079092
2025-07-15,32.44340002067169,63.22639991731327,-30.782999896641584
2025-07-16,33.00629799453424,61.55903470441811,-28.552736709883867
2025-07-17,33.49377862713723,59.8921289288267,-26.39835030168947
2025-07-18,31.790591071260874,58.11622612414046,-26.325635052879587
2025-07-19,31.790591071260874,58.11622612414046,-26.325635052879587
2025-07-20,31.790591071260874,58.11622612414046,-26.325635052879587
2025-07-21,30.243491947238486,58.6778182257844,-28.434326278545914
2025-07-24,32,59,-27
2025-07-25,33.06383258064925,59.36415934365384,-26.30032676300459
2025-07-26,33.06383258064925,59.36415934365384,-26.30032676300459
2025-07-27,33.06383258064925,59.36415934365384,-26.30032676300459
2025-07-28,32,59,-27
2025-08-01,34,53,-19
2025-08-02,34,53,-19
2025-08-03,34,53,-19
2025-08-08,36,55.00000000000001,-19.000000000000007
2025-08-09,36,55.00000000000001,-19.000000000000007
2025-08-10,36,55.00000000000001,-19.000000000000007
2025-08-13,36,59,-23
2025-08-14,35.45328585280075,55.719715116804466,-20.26642926400372
2025-08-15,35.52162960600859,55.379728416824705,-19.858098810816116
2025-08-16,35.52162960600859,55.379728416824705,-19.858098810816116
2025-08-17,35.52162960600859,55.379728416824705,-19.858098810816116
2025-08-18,35.52162960600859,55.379728416824705,-19.858098810816116
2025-08-20,36,51,-15
2025-08-21,36,51,-15
2025-08-22,34.85200210227093,59.29599579545813,-24.443993693187203
2025-08-23,34.85200210227093,59.29599579545813,-24.443993693187203
2025-08-24,34.85200210227093,59.29599579545813,-24.443993693187203
2025-08-29,36,52,-16
2025-08-30,36,52,-16
2025-08-31,36,52,-16
2025-09-15,36,59.99999999999999,-23.999999999999993
2025-09-16,36,59.99999999999999,-23.999999999999993
2025-09-17,36,59.99999999999999,-23.999999999999993
2025-09-18,36.88492398791618,55.575380060419086,-18.690456072502904
2025-09-19,36.212576638640606,56.37350650960732,-20.16092987096671
2025-09-20,36.212576638640606,56.37350650960732,-20.16092987096671
2025-09-21,36.212576638640606,56.37350650960732,-20.16092987096671
2025-09-22,36.88492398791618,55.575380060419086,-18.690456072502904
2025-09-23,36,59.99999999999999,-23.999999999999993
2025-09-24,36,59.99999999999999,-23.999999999999993
2025-10-01,40,47,-7
2025-10-02,40,47,-7
2025-10-07,40,53,-13
2025-10-08,40,53,-13
2025-10-09,40,53,-13
2025-10-10,40,53,-13
2025-10-11,40,53,-13
2025-10-12,40,53,-13
2025-10-13,40,53,-13
2025-10-14,38.810684762221555,50.62136952444311,-11.810684762221555
2025-10-15,38.810684762221555,50.62136952444311,-11.810684762221555
2025-10-16,36.30331834613264,48.84427929119971,-12.54096094506707
2025-10-17,36.30331834613264,48.84427929119971,-12.54096094506707
2025-10-18,36.30331834613264,48.84427929119971,-12.54096094506707
2025-10-19,36.30331834613264,48.84427929119971,-12.54096094506707
2025-10-20,36.30331834613264,48.84427929119971,-12.54096094506707
2025-11-04,40,47,-7
2025-11-05,40,47,-7
2025-11-06,40,47,-7
2025-11-07,35,53,-18
2025-11-08,35,53,-18
2025-11-09,35,53,-18
2025-11-10,35,53,-18
2025-11-13,38,53.00000000000001,-15.000000000000007
2025-11-14,38,53.00000000000001,-15.000000000000007
2025-11-15,38,53.00000000000001,-15.000000000000007
2025-11-16,38,53.00000000000001,-15.000000000000007
2025-11-17,38,53.00000000000001,-15.000000000000007
2025-12-02,41,45,-4
2025-12-03,41,45,-4
2025-12-04,41,45,-4
2025-12-14,40.1,46,-5.899999999999999
2025-12-15,40.1,46,-5.899999999999999
2026-01-20,38,58,-20
2026-01-21,38,58,-20
2026-01-22,38,58,-20
2026-01-23,38,58,-20
2026-01-24,38,58,-20
2026-01-25,38,58,-20
2026-01-26,38,58,-20
2026-01-28,38,46,-8
2026-01-29,38,46,-8
2026-02-06,34,56,-22
2026-02-07,34,56,-22
2026-02-08,34,56,-22
2026-02-09,34,56,-22
2026-02-13,28,55,-27
2026-02-14,28,55,-27
2026-02-15,28,55,-27
2026-02-16,28,55,-27
2026-02-17,28,55,-27
2026-02-18,28,55,-27
2026-02-25,40,46,-6
2026-02-26,40,46,-6
2026-03-25,38,47,-9
2026-03-26,33.95696103999583,46.494620129999475,-12.537659090003643
2026-03-27,30,46,-16
2026-03-28,30,46,-16
2026-03-29,30,46,-16
2026-03-30,30,46,-16
