package,date,downloads
ggplot2,2014-01-01,291
ggplot2,2014-01-02,632
ggplot2,2014-01-03,613
ggplot2,2014-01-04,432
ggplot2,2014-01-05,446
ggplot2,2014-01-06,916
ggplot2,2014-01-07,1122
ggplot2,2014-01-08,1251
ggplot2,2014-01-09,1230
ggplot2,2014-01-10,1110
ggplot2,2014-01-11,484
ggplot2,2014-01-12,613
ggplot2,2014-01-13,1237
ggplot2,2014-01-14,1347
ggplot2,2014-01-15,1273
ggplot2,2014-01-16,1262
ggplot2,2014-01-17,1107
ggplot2,2014-01-18,563
ggplot2,2014-01-19,627
ggplot2,2014-01-20,1196
ggplot2,2014-01-21,1486
ggplot2,2014-01-22,1584
ggplot2,2014-01-23,1563
ggplot2,2014-01-24,1574
ggplot2,2014-01-25,915
ggplot2,2014-01-26,1019
ggplot2,2014-01-27,1559
ggplot2,2014-01-28,1465
ggplot2,2014-01-29,1706
ggplot2,2014-01-30,1621
ggplot2,2014-01-31,1213
ggplot2,2014-02-01,757
ggplot2,2014-02-02,628
ggplot2,2014-02-03,1421
ggplot2,2014-02-04,1731
ggplot2,2014-02-05,1640
ggplot2,2014-02-06,1648
ggplot2,2014-02-07,1479
ggplot2,2014-02-08,740
ggplot2,2014-02-09,769
ggplot2,2014-02-10,1505
ggplot2,2014-02-11,1501
ggplot2,2014-02-12,1448
ggplot2,2014-02-13,1464
ggplot2,2014-02-14,1214
ggplot2,2014-02-15,682
ggplot2,2014-02-16,711
ggplot2,2014-02-17,1302
ggplot2,2014-02-18,1861
ggplot2,2014-02-19,1588
ggplot2,2014-02-20,1644
ggplot2,2014-02-21,1328
ggplot2,2014-02-22,744
ggplot2,2014-02-23,785
ggplot2,2014-02-24,1578
ggplot2,2014-02-25,1864
ggplot2,2014-02-26,1681
ggplot2,2014-02-27,1541
ggplot2,2014-02-28,1563
ggplot2,2014-03-01,768
ggplot2,2014-03-02,754
ggplot2,2014-03-03,1604
ggplot2,2014-03-04,1992
ggplot2,2014-03-05,1772
ggplot2,2014-03-06,1756
ggplot2,2014-03-07,1787
ggplot2,2014-03-08,786
ggplot2,2014-03-09,803
ggplot2,2014-03-10,1646
